toy	swing	_hyponym
swing	toy	_hyponym-inv
cover	covering	_derivationally_related_form
covering	cover	_derivationally_related_form-inv
question	inquire	_derivationally_related_form
inquire	question	_derivationally_related_form-inv
system	ontology	_hyponym
ontology	system	_hyponym-inv
empathy	sympathy	_hypernym
sympathy	empathy	_hypernym-inv
body	college	_hyponym
college	body	_hyponym-inv
pullout	retreat	_hypernym
retreat	pullout	_hypernym-inv
variation	vary	_derivationally_related_form
vary	variation	_derivationally_related_form-inv
charge	request	_hypernym
request	charge	_hypernym-inv
point	abutment	_hyponym
abutment	point	_hyponym-inv
imitation	sham	_hyponym
sham	imitation	_hyponym-inv
lodge	accommodation	_derivationally_related_form
accommodation	lodge	_derivationally_related_form-inv
payment	recompense	_hyponym
recompense	payment	_hyponym-inv
physics	relativistic	_member_of_domain_topic
relativistic	physics	_member_of_domain_topic-inv
chip	nick	_derivationally_related_form
nick	chip	_derivationally_related_form-inv
propagator	spread	_derivationally_related_form
spread	propagator	_derivationally_related_form-inv
deform	start	_hyponym
start	deform	_hyponym-inv
religious	superior	_hyponym
superior	religious	_hyponym-inv
expand	grow	_hypernym
grow	expand	_hypernym-inv
sieve	strain	_derivationally_related_form
strain	sieve	_derivationally_related_form-inv
scandal	shock	_derivationally_related_form
shock	scandal	_derivationally_related_form-inv
nonperformance	contributory_negligence	_hyponym
contributory_negligence	nonperformance	_hyponym-inv
taiwan	taiwanese	_member_meronym
taiwanese	taiwan	_member_meronym-inv
striker	strike	_derivationally_related_form
strike	striker	_derivationally_related_form-inv
hitch	connexion	_hypernym
connexion	hitch	_hypernym-inv
reinforce	mine	_hyponym
mine	reinforce	_hyponym-inv
pious	piousness	_derivationally_related_form
piousness	pious	_derivationally_related_form-inv
treat	fumigate	_hyponym
fumigate	treat	_hyponym-inv
fungus	lichen	_hyponym
lichen	fungus	_hyponym-inv
verbalize	shout	_hyponym
shout	verbalize	_hyponym-inv
abstract	view	_hypernym
view	abstract	_hypernym-inv
neuter	spay	_derivationally_related_form
spay	neuter	_derivationally_related_form-inv
dish	salad	_hyponym
salad	dish	_hyponym-inv
arrangement	array	_hyponym
array	arrangement	_hyponym-inv
posture	deport	_hypernym
deport	posture	_hypernym-inv
preparation	train	_derivationally_related_form
train	preparation	_derivationally_related_form-inv
lie	sunbathe	_hyponym
sunbathe	lie	_hyponym-inv
rifle	sniper_rifle	_hyponym
sniper_rifle	rifle	_hyponym-inv
ethnic_slur	wop	_member_of_domain_usage
wop	ethnic_slur	_member_of_domain_usage-inv
fluttering	wave	_derivationally_related_form
wave	fluttering	_derivationally_related_form-inv
intensify	intensification	_derivationally_related_form
intensification	intensify	_derivationally_related_form-inv
refer	name	_derivationally_related_form
name	refer	_derivationally_related_form-inv
constitutionalist	proponent	_hypernym
proponent	constitutionalist	_hypernym-inv
be	diverge	_hyponym
diverge	be	_hyponym-inv
adagio	music	_synset_domain_topic_of
music	adagio	_synset_domain_topic_of-inv
american	latino	_hyponym
latino	american	_hyponym-inv
average	ratio	_hypernym
ratio	average	_hypernym-inv
grouping	collection	_hyponym
collection	grouping	_hyponym-inv
folding_chair	stave	_has_part
stave	folding_chair	_has_part-inv
spouse	pair	_derivationally_related_form
pair	spouse	_derivationally_related_form-inv
weight	slant	_derivationally_related_form
slant	weight	_derivationally_related_form-inv
tactician	tactics	_derivationally_related_form
tactics	tactician	_derivationally_related_form-inv
announcer	broadcaster	_hypernym
broadcaster	announcer	_hypernym-inv
ontology	system	_hypernym
system	ontology	_hypernym-inv
water_heater	tank	_hypernym
tank	water_heater	_hypernym-inv
cupper	tea	_hypernym
tea	cupper	_hypernym-inv
phylogeny	evolve	_derivationally_related_form
evolve	phylogeny	_derivationally_related_form-inv
aching	suffer	_derivationally_related_form
suffer	aching	_derivationally_related_form-inv
entertainment	show	_hyponym
show	entertainment	_hyponym-inv
resumption	recommence	_derivationally_related_form
recommence	resumption	_derivationally_related_form-inv
install	vest	_hyponym
vest	install	_hyponym-inv
curb	restraint	_hypernym
restraint	curb	_hypernym-inv
touchwood	kindle	_derivationally_related_form
kindle	touchwood	_derivationally_related_form-inv
orientalism	liberal_arts	_hypernym
liberal_arts	orientalism	_hypernym-inv
recruiter	recruit	_derivationally_related_form
recruit	recruiter	_derivationally_related_form-inv
service	upkeep	_hypernym
upkeep	service	_hypernym-inv
sandpiper	yellowlegs	_hyponym
yellowlegs	sandpiper	_hyponym-inv
assent	connive	_hyponym
connive	assent	_hyponym-inv
soy_sauce	condiment	_hypernym
condiment	soy_sauce	_hypernym-inv
defense	team	_hypernym
team	defense	_hypernym-inv
oblique	convergent	_also_see
convergent	oblique	_also_see-inv
paint	painting	_derivationally_related_form
painting	paint	_derivationally_related_form-inv
manifest	testify	_hypernym
testify	manifest	_hypernym-inv
meeting	happen	_derivationally_related_form
happen	meeting	_derivationally_related_form-inv
intoxicant	saki	_hyponym
saki	intoxicant	_hyponym-inv
stain	tarnish	_hyponym
tarnish	stain	_hyponym-inv
consummation	realization	_hyponym
realization	consummation	_hyponym-inv
onslaught	operation	_hypernym
operation	onslaught	_hypernym-inv
right	proper	_also_see
proper	right	_also_see-inv
generality	quality	_hypernym
quality	generality	_hypernym-inv
ulna	forearm	_part_of
forearm	ulna	_part_of-inv
titanium	plane	_synset_domain_topic_of
plane	titanium	_synset_domain_topic_of-inv
thrust	lurch	_derivationally_related_form
lurch	thrust	_derivationally_related_form-inv
withdraw	strip	_hyponym
strip	withdraw	_hyponym-inv
publicize	spread	_hyponym
spread	publicize	_hyponym-inv
suspect	doubt	_hyponym
doubt	suspect	_hyponym-inv
explicate	explication	_derivationally_related_form
explication	explicate	_derivationally_related_form-inv
suit	sue	_derivationally_related_form
sue	suit	_derivationally_related_form-inv
rome	roman	_member_meronym
roman	rome	_member_meronym-inv
disguise	camouflage	_derivationally_related_form
camouflage	disguise	_derivationally_related_form-inv
sensitizing	immunization	_hypernym
immunization	sensitizing	_hypernym-inv
play	vice	_hypernym
vice	play	_hypernym-inv
station	navy	_synset_domain_topic_of
navy	station	_synset_domain_topic_of-inv
tally	adhere	_hyponym
adhere	tally	_hyponym-inv
work	stir	_hypernym
stir	work	_hypernym-inv
side	fauna	_synset_domain_topic_of
fauna	side	_synset_domain_topic_of-inv
impress	impressive	_derivationally_related_form
impressive	impress	_derivationally_related_form-inv
underscore	stress	_hypernym
stress	underscore	_hypernym-inv
mastership	spot	_hypernym
spot	mastership	_hypernym-inv
assurance	insurance	_hypernym
insurance	assurance	_hypernym-inv
doubling	duplicate	_derivationally_related_form
duplicate	doubling	_derivationally_related_form-inv
whip	strap	_hyponym
strap	whip	_hyponym-inv
possession	treasure	_hyponym
treasure	possession	_hyponym-inv
merrymaking	festivity	_hypernym
festivity	merrymaking	_hypernym-inv
tenant	populate	_hypernym
populate	tenant	_hypernym-inv
produce	getting	_derivationally_related_form
getting	produce	_derivationally_related_form-inv
view	value	_hyponym
value	view	_hyponym-inv
job	production	_hypernym
production	job	_hypernym-inv
change	solarize	_hyponym
solarize	change	_hyponym-inv
lectureship	lecturing	_derivationally_related_form
lecturing	lectureship	_derivationally_related_form-inv
rich	richness	_derivationally_related_form
richness	rich	_derivationally_related_form-inv
pork_sausage	banger	_hyponym
banger	pork_sausage	_hyponym-inv
modify	devalue	_hyponym
devalue	modify	_hyponym-inv
summon	summoning	_derivationally_related_form
summoning	summon	_derivationally_related_form-inv
whisperer	whisper	_derivationally_related_form
whisper	whisperer	_derivationally_related_form-inv
inspirer	revolutionize	_derivationally_related_form
revolutionize	inspirer	_derivationally_related_form-inv
splotch	spot	_hypernym
spot	splotch	_hypernym-inv
kid	progeny	_hypernym
progeny	kid	_hypernym-inv
want	poverty	_hypernym
poverty	want	_hypernym-inv
expansive	expand	_derivationally_related_form
expand	expansive	_derivationally_related_form-inv
preparation	steam	_member_of_domain_topic
steam	preparation	_member_of_domain_topic-inv
walk	zimmer_frame	_derivationally_related_form
zimmer_frame	walk	_derivationally_related_form-inv
guvnor	hirer	_hypernym
hirer	guvnor	_hypernym-inv
trust	syndicate	_hypernym
syndicate	trust	_hypernym-inv
witness	spy	_hyponym
spy	witness	_hyponym-inv
rock_outcrop	stone	_hypernym
stone	rock_outcrop	_hypernym-inv
anesthesia	anesthetist	_derivationally_related_form
anesthetist	anesthesia	_derivationally_related_form-inv
vex	stupefaction	_derivationally_related_form
stupefaction	vex	_derivationally_related_form-inv
uphold	preservation	_derivationally_related_form
preservation	uphold	_derivationally_related_form-inv
refine	refinement	_derivationally_related_form
refinement	refine	_derivationally_related_form-inv
outshine	surpass	_hypernym
surpass	outshine	_hypernym-inv
respiratory	respire	_derivationally_related_form
respire	respiratory	_derivationally_related_form-inv
empty	voidance	_derivationally_related_form
voidance	empty	_derivationally_related_form-inv
reach	potentiality	_hypernym
potentiality	reach	_hypernym-inv
soaring	flying	_hypernym
flying	soaring	_hypernym-inv
physical	physicalness	_derivationally_related_form
physicalness	physical	_derivationally_related_form-inv
expedient	convenient	_also_see
convenient	expedient	_also_see-inv
rearrangement	transcription	_hypernym
transcription	rearrangement	_hypernym-inv
enclosure	wrap	_derivationally_related_form
wrap	enclosure	_derivationally_related_form-inv
remuneration	payment	_hypernym
payment	remuneration	_hypernym-inv
parenthesis	wander	_derivationally_related_form
wander	parenthesis	_derivationally_related_form-inv
mouth	lip	_has_part
lip	mouth	_has_part-inv
transmutation	modification	_hypernym
modification	transmutation	_hypernym-inv
counselor	consultant	_hypernym
consultant	counselor	_hypernym-inv
revise	rewriting	_derivationally_related_form
rewriting	revise	_derivationally_related_form-inv
madam	woman	_hypernym
woman	madam	_hypernym-inv
room	wall	_has_part
wall	room	_has_part-inv
sleeping	dreaming	_has_part
dreaming	sleeping	_has_part-inv
ordinary	common	_also_see
common	ordinary	_also_see-inv
knock	strike	_hypernym
strike	knock	_hypernym-inv
music	sound	_hypernym
sound	music	_hypernym-inv
regard	involvement	_derivationally_related_form
involvement	regard	_derivationally_related_form-inv
breaking	splintering	_hyponym
splintering	breaking	_hyponym-inv
protrude	swelling	_derivationally_related_form
swelling	protrude	_derivationally_related_form-inv
move	partner	_hyponym
partner	move	_hyponym-inv
passionate	hot	_also_see
hot	passionate	_also_see-inv
passing	pass	_derivationally_related_form
pass	passing	_derivationally_related_form-inv
view	disrespect	_hyponym
disrespect	view	_hyponym-inv
symbolizing	figuration	_hypernym
figuration	symbolizing	_hypernym-inv
coalition	bloc	_hyponym
bloc	coalition	_hyponym-inv
pincer	crustacean	_part_of
crustacean	pincer	_part_of-inv
redact	rewriter	_derivationally_related_form
rewriter	redact	_derivationally_related_form-inv
outlaw	outlawry	_derivationally_related_form
outlawry	outlaw	_derivationally_related_form-inv
passage	delivery	_hypernym
delivery	passage	_hypernym-inv
saturate	soak	_hyponym
soak	saturate	_hyponym-inv
savvy	comprehensible	_derivationally_related_form
comprehensible	savvy	_derivationally_related_form-inv
voidance	drainage	_hyponym
drainage	voidance	_hyponym-inv
truck	stabilizer_bar	_has_part
stabilizer_bar	truck	_has_part-inv
false_pretense	violation	_hypernym
violation	false_pretense	_hypernym-inv
patron_saint	saint	_hypernym
saint	patron_saint	_hypernym-inv
sika	deer	_hypernym
deer	sika	_hypernym-inv
dictate	rule	_hypernym
rule	dictate	_hypernym-inv
discontented	discontentment	_derivationally_related_form
discontentment	discontented	_derivationally_related_form-inv
correspondence	tally	_derivationally_related_form
tally	correspondence	_derivationally_related_form-inv
symbol	marking	_hyponym
marking	symbol	_hyponym-inv
relaxer	unwind	_derivationally_related_form
unwind	relaxer	_derivationally_related_form-inv
snick	nick	_derivationally_related_form
nick	snick	_derivationally_related_form-inv
law	counterclaim	_member_of_domain_topic
counterclaim	law	_member_of_domain_topic-inv
vulnerability	vulnerable	_derivationally_related_form
vulnerable	vulnerability	_derivationally_related_form-inv
commission	pass	_hypernym
pass	commission	_hypernym-inv
suppress	silence	_hyponym
silence	suppress	_hyponym-inv
ingenuous	naturalness	_derivationally_related_form
naturalness	ingenuous	_derivationally_related_form-inv
substance	stuff	_hyponym
stuff	substance	_hyponym-inv
begin	start	_verb_group
start	begin	_verb_group-inv
represent	parody	_hyponym
parody	represent	_hyponym-inv
procedure	work	_derivationally_related_form
work	procedure	_derivationally_related_form-inv
radiolocation	waveguide	_has_part
waveguide	radiolocation	_has_part-inv
compound	preparation	_hyponym
preparation	compound	_hyponym-inv
explication	explanation	_hypernym
explanation	explication	_hypernym-inv
show	imply	_hyponym
imply	show	_hyponym-inv
movement	wrench	_hyponym
wrench	movement	_hyponym-inv
spot	episcopate	_hyponym
episcopate	spot	_hyponym-inv
schedule	scheduling	_derivationally_related_form
scheduling	schedule	_derivationally_related_form-inv
falcon	peregrine_falcon	_hyponym
peregrine_falcon	falcon	_hyponym-inv
rook	ladle	_member_holonym
ladle	rook	_member_holonym-inv
trailblazer	pioneer	_derivationally_related_form
pioneer	trailblazer	_derivationally_related_form-inv
travel	proceed	_also_see
proceed	travel	_also_see-inv
conjunctiva	optic	_part_of
optic	conjunctiva	_part_of-inv
get	movement	_derivationally_related_form
movement	get	_derivationally_related_form-inv
accusation	allegation	_hyponym
allegation	accusation	_hyponym-inv
worker	soul	_hypernym
soul	worker	_hypernym-inv
soul	outdoorsman	_hyponym
outdoorsman	soul	_hyponym-inv
flat	lodging	_hypernym
lodging	flat	_hypernym-inv
typecast	type	_derivationally_related_form
type	typecast	_derivationally_related_form-inv
exaltation	proclaim	_derivationally_related_form
proclaim	exaltation	_derivationally_related_form-inv
drawing	tracing	_hyponym
tracing	drawing	_hyponym-inv
comparable	equal	_also_see
equal	comparable	_also_see-inv
patroller	watchman	_hypernym
watchman	patroller	_hypernym-inv
concentration	reduce	_derivationally_related_form
reduce	concentration	_derivationally_related_form-inv
regeneration	restore	_derivationally_related_form
restore	regeneration	_derivationally_related_form-inv
device	reflector	_hyponym
reflector	device	_hyponym-inv
